uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
1,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[-0.28299329448707633, 1.2280603163140045, 0.4971156537001512], [-0.27738367455659063, 1.193909964527199, 0.5031372821208508]]"
2,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[0.28299329448707633, 1.2280603163140045, 0.4971156537001512], [0.27738367455659063, 1.193909964527199, 0.5031372821208508]]"
3,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.12266268470468907, 0.6825726539823522, 0.5932998462128104], [-0.0986028744359561, 0.681316138726136, 0.593521403754153]]"
4,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.12266268470468907, 0.6825726539823522, 0.5932998462128104], [0.0986028744359561, 0.681316138726136, 0.593521403754153]]"
5,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.18483171903789952, 1.2637474300467206, 0.4908230526854622], [-0.2013061119357227, 1.2731364526832631, 0.48916751467215724]]"
6,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.18483171903789952, 1.2637474300467206, 0.4908230526854622], [0.2013061119357227, 1.2731364526832631, 0.48916751467215724]]"
7,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.19280942304319676, 1.4499378722089489, 0.45799265418222257], [-0.16776959555526919, 1.4526015610021485, 0.4575229739797706]]"
8,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.19280942304319676, 1.4499378722089489, 0.45799265418222257], [0.16776959555526919, 1.4526015610021485, 0.4575229739797706]]"
9,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.13578832730549473, 0.7897451150989689, 0.5744024497290222], [-0.16050406013916063, 0.7771750353583249, 0.5766188939369545]]"
10,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.13578832730549473, 0.7897451150989689, 0.5744024497290222], [0.16050406013916063, 0.7771750353583249, 0.5766188939369545]]"
11,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.13337581697543138, 0.9968359856643906, 0.5378867417899338], [-0.13793034303337337, 0.9658874341861515, 0.5433438064293921]]"
12,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.13337581697543138, 0.9968359856643906, 0.5378867417899338], [0.13793034303337337, 0.9658874341861515, 0.5433438064293921]]"
13,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[-0.10193395979260648, 1.0228660670978666, 0.5332969361231734], [-0.09379509776479893, 1.0342612772413202, 0.5312876531240397]]"
14,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.10193395979260648, 1.0228660670978666, 0.5332969361231734], [0.09379509776479893, 1.0342612772413202, 0.5312876531240397]]"
15,face_front,1,0.02,FALSE,0,face_front,1,bus,done,"[[-0.08825066144206514, 1.2252207106346609, 0.4976163527959929], [-0.08134892387833378, 1.2103415166316183, 0.5002399561499249]]"
16,face_front,1,0.02,FALSE,0,face_front,1,bus,done,"[[0.08825066144206514, 1.2252207106346609, 0.4976163527959929], [0.08134892387833378, 1.2103415166316183, 0.5002399561499249]]"
17,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.24713501965372126, 1.2926317194946215, 0.48572997313720445], [-0.2675177318194284, 1.3020599716463546, 0.48406751790193125]]"
18,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.24713501965372126, 1.2926317194946215, 0.48572997313720445], [0.2675177318194284, 1.3020599716463546, 0.48406751790193125]]"
19,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.16125500685800132, 1.2426075641509422, 0.4945505814114466], [-0.1772855705581231, 1.252342895258115, 0.4928339798711216]]"
20,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.16125500685800132, 1.2426075641509422, 0.4945505814114466], [0.1772855705581231, 1.252342895258115, 0.4928339798711216]]"
21,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.12029315793579876, 0.7094979809012736, 0.5885521846126086], [-0.12266268470468907, 0.6825726539823522, 0.5932998462128104]]"
22,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.12029315793579876, 0.7094979809012736, 0.5885521846126086], [0.12266268470468907, 0.6825726539823522, 0.5932998462128104]]"
23,face_front,1,0.02,FALSE,0,face_front,1,bus,done,"[[-0.10805513446680973, 1.0685388298596004, 0.5252435957647829], [-0.12358836112300292, 1.0627557261614287, 0.5262633129790054]]"
24,face_front,1,0.02,FALSE,0,face_front,1,bus,done,"[[0.10805513446680973, 1.0685388298596004, 0.5252435957647829], [0.12358836112300292, 1.0627557261614287, 0.5262633129790054]]"
25,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.06706994128072283, 0.7032154046201918, 0.5896599723193223], [-0.09605107637715114, 0.7055489329531652, 0.5892485083139717]]"
26,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.06706994128072283, 0.7032154046201918, 0.5896599723193223], [0.09605107637715114, 0.7055489329531652, 0.5892485083139717]]"
27,face_front,1,0.02,FALSE,0,face_front,1,bus,done,"[[-0.10294053544586781, 1.0534281395514804, 0.5279080181632344], [-0.10805513446680973, 1.0685388298596004, 0.525243595764783]]"
