uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
1,face_front,4,0.05,FALSE,0,face_front,4,bus,done,"[[0.3999042367225188, 1.2026643244350226, 0.3105328483750831], [0.42615243295406474, 1.1694895727084065, 0.27676884651042216]]"
3,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.3046254148992701, 1.1804004255060754, 0.4834120608121317], [0.3096222155333361, 1.1749566554665278, 0.4766771153081264]]"
4,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.3096222155333361, 1.1749566554665278, 0.4766771153081264], [0.31470944670167006, 1.1700778815030513, 0.4695862914198017]]"
5,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.31470944670167006, 1.1700778815030513, 0.4695862914198017], [0.31986400120114455, 1.1657862639652072, 0.4621717970619362]]"
6,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.31986400120114455, 1.1657862639652072, 0.4621717970619362], [0.32506246603283906, 1.1621012962227504, 0.4544673103241523]]"
7,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.32506246603283906, 1.1621012962227504, 0.4544673103241523], [0.3302812287484802, 1.1590397161229156, 0.4465078264984178]]"
8,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.3302812287484802, 1.1590397161229156, 0.4465078264984178], [0.3354965847028189, 1.1566154299638278, 0.43832949912355673]]"
9,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.3354965847028189, 1.1566154299638278, 0.43832949912355673], [0.3406848447247851, 1.1548394493293654, 0.4299694757687758]]"
10,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.3406848447247851, 1.1548394493293654, 0.4299694757687758], [0.3458224427183553, 1.1537198410723828, 0.42146572930210835]]"
11,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.3458224427183553, 1.1537198410723828, 0.42146572930210835], [0.3508860427043895, 1.1532616906734803, 0.41285688541018983]]"
12,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.3508860427043895, 1.1532616906734803, 0.41285688541018983], [0.35585264481723117, 1.1534670791417532, 0.4041820471528033]]"
13,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.35585264481723117, 1.1534670791417532, 0.4041820471528033], [0.3606996897746151, 1.1543350735624391, 0.39548061734910106]]"
14,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.3606996897746151, 1.1543350735624391, 0.39548061734910106], [0.3654051613463578, 1.1558617313344004, 0.3867921196022618]]"
15,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.3654051613463578, 1.1558617313344004, 0.3867921196022618], [0.369947686356399, 1.1580401180781927, 0.37815601877552163]]"
16,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.369947686356399, 1.1580401180781927, 0.37815601877552163], [0.3743066317639655, 1.1608603391333776, 0.3696115417350148]]"
17,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.3743066317639655, 1.1608603391333776, 0.3696115417350148], [0.3784621983828946, 1.1643095845020155, 0.3611974991736433]]"
18,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.3784621983828946, 1.1643095845020155, 0.3611974991736433], [0.3823955108134261, 1.168372187034191, 0.3529521093252862]]"
19,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.3823955108134261, 1.168372187034191, 0.3529521093252862], [0.38608870317797594, 1.1730296935912843, 0.34491282437007625]]"
20,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.38608870317797594, 1.1730296935912843, 0.34491282437007625], [0.3895250002714603, 1.1782609488637525, 0.3371161603192411]]"
21,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.3895250002714603, 1.1782609488637525, 0.3371161603192411], [0.39268879375757215, 1.1840421914626997, 0.3295975311522086]]"
22,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.39268879375757215, 1.1840421914626997, 0.3295975311522086], [0.395565713064911, 1.1903471618487733, 0.3223910879593567]]"
23,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.395565713064911, 1.1903471618487733, 0.3223910879593567], [0.39814269066093927, 1.1971472216081473, 0.3155295638210539]]"
24,face_front,14,0.22,FALSE,0,face_front,14,bus,done,"[[0.39814269066093927, 1.1971472216081473, 0.3155295638210539], [0.3999042367225188, 1.2026643244350224, 0.31053284837508316]]"
26,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.3105882399474835, 1.1218279036001615, 0.49373997675228176], [0.30462541489927014, 1.1804004255060756, 0.4834120608121318]]"
28,face_front,17,0.27,FALSE,0,face_front,17,bus,done,"[[0.31058823994748347, 1.1218279036001615, 0.49373997675228165], [0.3157459702216498, 1.1175654760045903, 0.48630968784252054]]"
29,face_front,17,0.27,FALSE,0,face_front,17,bus,done,"[[0.3157459702216498, 1.1175654760045903, 0.48630968784252054], [0.32093733698500976, 1.1137465971839422, 0.4786647195919294]]"
30,face_front,17,0.27,FALSE,0,face_front,17,bus,done,"[[0.32093733698500976, 1.1137465971839422, 0.4786647195919294], [0.32614967310697524, 1.11038058534649, 0.4708237260112125]]"
31,face_front,17,0.27,FALSE,0,face_front,17,bus,done,"[[0.32614967310697524, 1.11038058534649, 0.4708237260112125], [0.33137026029093264, 1.107475653687997, 0.4628058394202683]]"
32,face_front,17,0.27,FALSE,0,face_front,17,bus,done,"[[0.33137026029093264, 1.107475653687997, 0.4628058394202683], [0.3365863601073662, 1.1050388903512098, 0.45463062376460833]]"
33,face_front,17,0.27,FALSE,0,face_front,17,bus,done,"[[0.3365863601073662, 1.1050388903512098, 0.45463062376460833], [0.341785245076106, 1.103076241130522, 0.4463180268785923]]"
34,face_front,17,0.27,FALSE,0,face_front,17,bus,done,"[[0.341785245076106, 1.103076241130522, 0.4463180268785923], [0.34695422972185935, 1.101592494964013, 0.4378883318119605]]"
35,face_front,17,0.27,FALSE,0,face_front,17,bus,done,"[[0.34695422972185935, 1.101592494964013, 0.4378883318119605], [0.3520807015272488, 1.1005912722482585, 0.4293621073384282]]"
36,face_front,17,0.27,FALSE,0,face_front,17,bus,done,"[[0.3520807015272488, 1.1005912722482585, 0.4293621073384282], [0.35715215170782977, 1.1000750160044253, 0.4207601577671015]]"
37,face_front,17,0.27,FALSE,0,face_front,17,bus,done,"[[0.35715215170782977, 1.1000750160044253, 0.4207601577671015], [0.36215620573399643, 1.1000449859172081, 0.41210347217918014]]"
38,face_front,17,0.27,FALSE,0,face_front,17,bus,done,"[[0.36215620573399643, 1.1000449859172081, 0.41210347217918014], [0.36708065352529984, 1.1005012552611522, 0.4034131732138072]]"
