uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
1,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.3174856460465514, 0.5134760056963924, 0.568308496276462], [-0.2886735580654055, 0.5128591716176032, 0.5684172607671729]]"
2,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.2886735580654055, 0.5128591716176032, 0.5684172607671729], [-0.26737766694890636, 0.5313641939812787, 0.5651543260458434]]"
3,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[-0.26737766694890636, 0.5313641939812787, 0.5651543260458435], [-0.3062113507495813, 0.5350651984540136, 0.5645017391015776]]"
4,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.3062113507495813, 0.5350651984540137, 0.5645017391015776], [-0.322496443956316, 0.5480187141085873, 0.5622176847966468]]"
5,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.322496443956316, 0.5480187141085873, 0.5622176847966468], [-0.30245325231725784, 0.554803888975268, 0.561021275398826]]"
6,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.30245325231725784, 0.5548038889752679, 0.5610212753988261], [-0.2830364104169204, 0.546168211872219, 0.5625439782687799]]"
7,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.2830364104169204, 0.546168211872219, 0.5625439782687799], [-0.26048781982298025, 0.5548038889752679, 0.5610212753988261]]"
8,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.26048781982298025, 0.5548038889752679, 0.5610212753988261], [-0.2686303664263475, 0.582561422520781, 0.5561268733168317]]"
9,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.2686303664263476, 0.582561422520781, 0.5561268733168317], [-0.2892999078041261, 0.5702247409449972, 0.5583021631310515]]"
10,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.2892999078041261, 0.5702247409449972, 0.5583021631310515], [-0.31372754761422816, 0.5720752431813646, 0.5579758696589185]]"
11,face_front,3,0.03,FALSE,0,face_front,3,bus,done,"[[-0.31372754761422816, 0.5720752431813646, 0.5579758696589185], [-0.29055260728156734, 0.5961317722541428, 0.5537340545211902]]"
12,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.29055260728156734, 0.5961317722541428, 0.5537340545211902], [-0.316859296307831, 0.5948981040965647, 0.5539515835026121]]"
13,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[-0.316859296307831, 0.5948981040965647, 0.5539515835026121], [-0.3124748481367871, 0.6349923192178614, 0.5468818916063981]]"
14,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.3124748481367871, 0.6349923192178614, 0.5468818916063981], [-0.29180530675900856, 0.6337586510602828, 0.5470994205878201]]"
15,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.29180530675900856, 0.6337586510602828, 0.5470994205878201], [-0.305585001010861, 0.6528805075027475, 0.5437277213757796]]"
16,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.305585001010861, 0.6528805075027475, 0.5437277213757796], [-0.30871674970446383, 0.6757033684179471, 0.5397034352194732]]"
