uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
1,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.4778809392775397, 0.6268455545974149, 0.26892270523149137], [0.48127289185983024, 0.5961129511418639, 0.2738856453753554]]"
2,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.48127289185983024, 0.5961129511418638, 0.2738856453753554], [0.47530234793834664, 0.5733665935531647, 0.29224852390764733]]"
3,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[0.47530234793834664, 0.5733665935531647, 0.29224852390764733], [0.46889444823016807, 0.6104680736254324, 0.2902633478501019]]"
4,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[0.46889444823016807, 0.6104680736254324, 0.2902633478501018], [0.46805531005950274, 0.6469576460815131, 0.27884858551921776]]"
5,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.46805531005950274, 0.6469576460815131, 0.27884858551921776], [0.45255523234757583, 0.6583495426602785, 0.30167811018098745]]"
6,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.45255523234757583, 0.6583495426602785, 0.30167811018098745], [0.4614312249525387, 0.6316430739482147, 0.29572258200835266]]"
7,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.46143122495253874, 0.6316430739482147, 0.29572258200835266], [0.45888648751866407, 0.6159952538070201, 0.30564846229607806]]"
8,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.458886487518664, 0.6159952538070201, 0.3056484622960781], [0.4649635781452283, 0.5875550920327849, 0.30515216828169056]]"
9,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.4649635781452283, 0.5875550920327849, 0.30515216828169056], [0.46303526249979476, 0.5702870438363254, 0.31458175455503135]]"
10,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.46303526249979476, 0.5702870438363254, 0.3145817545550313], [0.447858310825738, 0.5788988334802571, 0.3378320242256933]]"
11,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.44785831082573807, 0.5788988334802571, 0.3378320242256933], [0.4495049783473369, 0.6051602137463646, 0.32571873263199147]]"
12,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.4495049783473368, 0.6051602137463646, 0.3257187326319915], [0.44802362297902687, 0.6298829355858393, 0.3195659496002696]]"
13,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.44802362297902687, 0.6298829355858393, 0.31956594960026957], [0.44225612460464414, 0.6505767557014616, 0.32225779217664785]]"
14,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.44225612460464414, 0.6505767557014616, 0.32225779217664785], [0.43553090548928375, 0.6307210242163126, 0.34090841574155406]]"
15,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.43553090548928375, 0.6307210242163127, 0.34090841574155406], [0.4382175846394172, 0.6044401566252576, 0.3455230030153464]]"
16,face_front,3,0.03,FALSE,0,face_front,3,bus,done,"[[0.4382175846394172, 0.6044401566252576, 0.3455230030153464], [0.43183683891436686, 0.577440339472777, 0.36609637127766653]]"
17,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.43183683891436686, 0.577440339472777, 0.36609637127766653], [0.43854741134916675, 0.5461172006333961, 0.3655195478684422]]"
18,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.4385474113491668, 0.546117200633396, 0.3655195478684422], [0.43607458035503377, 0.5255491649449081, 0.37705601605292166]]"
19,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[0.4360745803550337, 0.5255491649449082, 0.37705601605292166], [0.42460835849435585, 0.5595111415126341, 0.38493926931231515]]"
20,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[0.4246083584943559, 0.559511141512634, 0.38493926931231515], [0.42094172121229073, 0.5955120402857988, 0.37859421181085173]]"
21,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.42094172121229073, 0.595512040285799, 0.37859421181085184], [0.41639239645067455, 0.5758738870235888, 0.39339934598093346]]"
22,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.4163923964506745, 0.5758738870235887, 0.39339934598093346], [0.41647774930624826, 0.5558267099985352, 0.40032122689162014]]"
23,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.41647774930624826, 0.5558267099985353, 0.40032122689162014], [0.4220730109854759, 0.538704932716579, 0.3966680119665351]]"
24,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.4220730109854759, 0.538704932716579, 0.3966680119665351], [0.42438865226793027, 0.5137011866607583, 0.40147487371006835]]"
25,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.42438865226793027, 0.5137011866607583, 0.40147487371006835], [0.4097681761242376, 0.5168113865856725, 0.4257014568974731]]"
26,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.4097681761242376, 0.5168113865856725, 0.4257014568974731], [0.40858189332804395, 0.5488084087583379, 0.41647228234988953]]"
27,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.40858189332804395, 0.5488084087583379, 0.41647228234988953], [0.3964336492286097, 0.5425024117214796, 0.4397374931885899]]"
28,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.3964336492286097, 0.5425024117214796, 0.4397374931885899], [0.39173206079160466, 0.5634132562801996, 0.44050659106755474]]"
29,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.39173206079160466, 0.5634132562801996, 0.44050659106755474], [0.404835562613872, 0.5672084151352095, 0.41647228234989053]]"
30,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.40483556261387205, 0.5672084151352095, 0.41647228234989053], [0.39614603292958, 0.5875327399177247, 0.42435553560928396]]"
31,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.39614603292957995, 0.5875327399177247, 0.42435553560928396], [0.4066482084572865, 0.5975615893387365, 0.40262852052851605]]"
32,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[0.40664820845728655, 0.5975615893387366, 0.40262852052851605], [0.40030647673763176, 0.6379776035946056, 0.3993598545429139]]"
33,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.40030647673763176, 0.6379776035946056, 0.3993598545429139], [0.414085476559704, 0.6362741860909439, 0.3760946437042154]]"
34,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.414085476559704, 0.6362741860909439, 0.3760946437042154], [0.41967194962879434, 0.6606323966158766, 0.3578285690787906]]"
35,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.41967194962879434, 0.6606323966158766, 0.3578285690787906], [0.4176463876635146, 0.683666204258072, 0.35321398180499836]]"
36,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.4176463876635147, 0.6836662042580719, 0.3532139818049984], [0.40583695753092464, 0.7078641909752281, 0.36513499892895984]]"
37,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[0.40583695753092464, 0.7078641909752281, 0.3651349989289598], [0.4079119203143995, 0.6704119973325102, 0.37474872241602525]]"
38,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.4079119203143995, 0.6704119973325103, 0.37474872241602525], [0.4021172585127746, 0.6552546206657742, 0.3901306799953313]]"
39,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.4021172585127746, 0.655254620665774, 0.3901306799953313], [0.39711746831698425, 0.6727230832768463, 0.3926302481019667]]"
40,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.3971174683169842, 0.6727230832768463, 0.3926302481019667], [0.3994211918026309, 0.6930312434134573, 0.3814783288569716]]"
41,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.39942119180263097, 0.6930312434134575, 0.3814783288569716], [0.39254057982521084, 0.7175564281347819, 0.38474699484257324]]"
42,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.39254057982521073, 0.7175564281347817, 0.38474699484257324], [0.3799187680851658, 0.7152120103694846, 0.4074353822720488]]"
43,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.3799187680851658, 0.7152120103694846, 0.4074353822720488], [0.38831009601067173, 0.6914453036393217, 0.4012825992403274]]"
44,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.38831009601067173, 0.6914453036393217, 0.4012825992403274], [0.3746264355540555, 0.6915900216115627, 0.4249323590185088]]"
45,face_front,3,0.03,FALSE,0,face_front,3,bus,done,"[[0.3746264355540555, 0.6915900216115628, 0.4249323590185088], [0.38928412885352637, 0.665942955144216, 0.40858902909049655]]"
46,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.3892841288535264, 0.665942955144216, 0.40858902909049655], [0.3771440071957048, 0.6650492784686307, 0.42993149523178203]]"
47,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.3771440071957047, 0.6650492784686307, 0.42993149523178203], [0.38877713941233405, 0.6417171744045038, 0.41801047810782016]]"
48,face_front,3,0.03,FALSE,0,face_front,3,bus,done,"[[0.38877713941233405, 0.6417171744045038, 0.4180104781078201], [0.3765316918791726, 0.6238937197667073, 0.44550572728082843]]"
