uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
1,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.48040825208231097, 0.59631018520596, 0.275313690026234], [-0.4785466988428503, 0.6227472081166493, 0.2692148739604496]]"
2,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.4752124286533692, 0.5749912791357021, 0.2918313168710698], [-0.48040825208231097, 0.5963101852059601, 0.27531369002623396]]"
3,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[-0.469033737138551, 0.6103818612528977, 0.2900524955185493], [-0.4752124286533692, 0.5749912791357021, 0.2918313168710698]]"
4,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[-0.46818391272059756, 0.6462615145136806, 0.2788713327312765], [-0.4690337371385511, 0.6103818612528977, 0.2900524955185493]]"
5,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.45382128669102895, 0.655553411969859, 0.3004713062975993], [-0.46818391272059756, 0.6462615145136806, 0.2788713327312765]]"
6,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.459598823794714, 0.6343830431032917, 0.29793013293685505], [-0.45382128669102895, 0.655553411969859, 0.3004713062975993]]"
7,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.45834749358740967, 0.6138672550214401, 0.30733247437160716], [-0.459598823794714, 0.6343830431032919, 0.29793013293685505]]"
8,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.463221531616607, 0.5928108853993324, 0.3063160050273099], [-0.45834749358740967, 0.6138672550214401, 0.30733247437160716]]"
9,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.4617560535369533, 0.5724952779899758, 0.31601866695014935], [-0.463221531616607, 0.5928108853993325, 0.3063160050273099]]"
10,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.44838139063556126, 0.5825029808933797, 0.33565500655589775], [-0.46175605353695326, 0.5724952779899758, 0.3160186669501494]]"
11,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.4511308920293919, 0.6017527629361206, 0.32410421855251664], [-0.44838139063556126, 0.5825029808933797, 0.33565500655589764]]"
12,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.4494828867279337, 0.626878919578242, 0.31809780879075866], [-0.4511308920293919, 0.6017527629361207, 0.32410421855251664]]"
13,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.4409413694050995, 0.6511432619400083, 0.32433523431258365], [-0.4494828867279337, 0.6268789195782419, 0.3180978087907587]]"
14,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.4365356237078457, 0.630201914841987, 0.3393512587169793], [-0.4409413694050995, 0.6511432619400083, 0.3243352343125836]]"
15,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.4380642002467782, 0.6036970962569516, 0.3460507157589403], [-0.4365356237078457, 0.6302019148419868, 0.33935125871697935]]"
16,face_front,3,0.03,FALSE,0,face_front,3,bus,done,"[[-0.43321087001758035, 0.5752006693222682, 0.36450630814656504], [-0.4380642002467782, 0.6036970962569516, 0.34605071575894025]]"
17,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.42622619336976186, 0.5578273729201011, 0.3827308847741213], [-0.43321087001758035, 0.5752006693222682, 0.36450630814656504]]"
18,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.4388990466641623, 0.5501747935106522, 0.36347957143515297], [-0.42622619336976186, 0.5578273729201011, 0.3827308847741213]]"
19,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.43624089673583055, 0.5246534278636126, 0.37708383286135766], [-0.4388990466641623, 0.5501747935106522, 0.36347957143515297]]"
20,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.4227442986152566, 0.536351808674731, 0.39633514620032556], [-0.43624089673583055, 0.5246534278636125, 0.37708383286135755]]"
