uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
1,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[-0.36505953003454195, 0.5867592396581514, 0.5880870187368891], [-0.3614114799942669, 0.622593846437683, 0.5817684107185791]]"
2,face_front,16,0.25,FALSE,0,face_front,16,bus,done,"[[-0.36505953003454195, 0.5867592396581514, 0.5880870187368891], [-0.4912446924469136, 0.5877368557009497, 0.3691831461070928]]"
3,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[-0.4912446924469136, 0.5877368557009498, 0.36918314610709274], [-0.48570340618693686, 0.6235567946854266, 0.366148892068067]]"
4,face_front,15,0.25,FALSE,0,face_front,15,bus,done,"[[-0.48570340618693686, 0.6235567946854266, 0.3661488920680671], [-0.3614114799942669, 0.6225938464376831, 0.5817684107185791]]"
5,face_front,16,0.27,FALSE,0,face_front,16,bus,done,"[[-0.5050841934620699, 0.9716124080008882, 0.2098371929877552], [-0.5049033610053548, 0.9622857740476414, 0.21343947840074173]]"
6,face_front,16,0.27,FALSE,0,face_front,16,bus,done,"[[-0.5049033610053548, 0.9622857740476414, 0.21343947840074173], [-0.50484849420938, 0.9528855820023105, 0.21684952544188413]]"
7,face_front,16,0.27,FALSE,0,face_front,16,bus,done,"[[-0.50484849420938, 0.9528855820023105, 0.21684952544188413], [-0.5049219761408641, 0.9434160843325166, 0.22006170686899693]]"
8,face_front,16,0.27,FALSE,0,face_front,16,bus,done,"[[-0.5049219761408641, 0.9434160843325166, 0.22006170686899693], [-0.505125206205057, 0.9338823173910594, 0.22307182275131965]]"
9,face_front,16,0.27,FALSE,0,face_front,16,bus,done,"[[-0.505125206205057, 0.9338823173910594, 0.22307182275131965], [-0.505458771004449, 0.9242898658906484, 0.22587688759247612]]"
10,face_front,16,0.27,FALSE,0,face_front,16,bus,done,"[[-0.505458771004449, 0.9242898658906484, 0.22587688759247612], [-0.5059226220436941, 0.9146446603700794, 0.22847489396086915]]"
11,face_front,16,0.27,FALSE,0,face_front,16,bus,done,"[[-0.5059226220436941, 0.9146446603700794, 0.22847489396086915], [-0.5065162776700944, 0.9049528053819551, 0.23086452330878487]]"
12,face_front,16,0.27,FALSE,0,face_front,16,bus,done,"[[-0.5065162776700944, 0.9049528053819551, 0.23086452330878487], [-0.5072390279329727, 0.8952204518617976, 0.23304483615508978]]"
13,face_front,16,0.27,FALSE,0,face_front,16,bus,done,"[[-0.5072390279329727, 0.8952204518617976, 0.23304483615508978], [-0.508090119947876, 0.8854537206296758, 0.2350149780024635]]"
14,face_front,16,0.27,FALSE,0,face_front,16,bus,done,"[[-0.508090119947876, 0.8854537206296758, 0.2350149780024635], [-0.5090689397395317, 0.8756586688895459, 0.23677387619030224]]"
15,face_front,16,0.27,FALSE,0,face_front,16,bus,done,"[[-0.5090689397395317, 0.8756586688895459, 0.23677387619030224], [-0.5101751626939856, 0.8658413037011105, 0.23831997455306797]]"
